t_index   term                df                  
1         abid                1                   
2         absolut             1                   
3         abus                2                   
4         abut                1                   
5         accept              3                   
6         accid               1                   
7         accolad             1                   
8         accommod            1                   
9         accompani           3                   
10        accomplish          1                   
11        account             3                   
12        ace                 1                   
13        act                 7                   
14        action              3                   
15        activ               1                   
16        activist            1                   
17        ad                  11                  
18        adam                1                   
19        addit               1                   
20        address             1                   
21        adelaid             1                   
22        administr           1                   
23        admit               1                   
24        advantag            1                   
25        advertis            1                   
26        advisori            1                   
27        advoc               1                   
28        afc                 1                   
29        afd                 1                   
30        affair              1                   
31        affect              4                   
32        affili              3                   
33        africa              4                   
34        african             3                   
35        afternoon           2                   
36        age                 1                   
37        agenc               1                   
38        aggriev             1                   
39        ago                 2                   
40        agre                1                   
41        agreement           2                   
42        ahead               1                   
43        air                 1                   
44        airport             2                   
45        al                  2                   
46        alabama             1                   
47        alberto             1                   
48        alexand             1                   
49        alexi               1                   
50        alik                1                   
51        alleg               2                   
52        allegedli           1                   
53        allow               1                   
54        alongsid            3                   
55        altern              1                   
56        alv                 1                   
57        amat                1                   
58        amaz                3                   
59        ambrosio            1                   
60        ambul               1                   
61        amelio              1                   
62        amend               1                   
63        american            2                   
64        amid                1                   
65        ampezzo             1                   
66        amus                1                   
67        analyst             1                   
68        anaphylact          1                   
69        andr                2                   
70        andretti            1                   
71        andrieux            1                   
72        andrzej             1                   
73        angel               1                   
74        angela              2                   
75        anger               2                   
76        angri               1                   
77        ann                 2                   
78        anna                1                   
79        announc             3                   
80        annoy               1                   
81        annual              2                   
82        anti                3                   
83        anton               1                   
84        anymor              1                   
85        apart               1                   
86        apolog              3                   
87        appar               1                   
88        appeal              1                   
89        appear              3                   
90        appeas              1                   
91        applic              1                   
92        apprehend           1                   
93        approach            2                   
94        appropri            1                   
95        approxim            1                   
96        arabia              1                   
97        arbitr              1                   
98        arc                 1                   
99        arctic              1                   
100       area                1                   
101       aren                1                   
102       arm                 3                   
103       armada              1                   
104       armband             1                   
105       armbandalreadi      1                   
106       arrest              4                   
107       arriv               5                   
108       ascot               1                   
109       ashor               1                   
110       asisat              1                   
111       ask                 5                   
112       assault             2                   
113       assert              1                   
114       assess              1                   
115       assist              1                   
116       assum               1                   
117       asylum              1                   
118       athlet              4                   
119       atletico            1                   
120       attack              5                   
121       attempt             1                   
122       attend              2                   
123       attent              1                   
124       attorney            1                   
125       attract             1                   
126       aubameyang          1                   
127       august              2                   
128       australia           2                   
129       australiahom        1                   
130       australian          2                   
131       austrian            2                   
132       author              3                   
133       autocephal          1                   
134       autocephali         1                   
135       aviat               1                   
136       awar                1                   
137       award               4                   
138       awesom              1                   
139       babi                1                   
140       back                10                  
141       backdrop            1                   
142       background          1                   
143       backlash            1                   
144       backup              1                   
145       bad                 1                   
146       badf                1                   
147       badli               1                   
148       bae                 1                   
149       baldwin             1                   
150       balthazar           1                   
151       ban                 1                   
152       barbar              1                   
153       bare                1                   
154       bareback            1                   
155       barefoot            1                   
156       barn                1                   
157       barrier             1                   
158       bartholomew         1                   
159       base                1                   
160       basel               1                   
161       basketbal           1                   
162       batmobil            1                   
163       battl               2                   
164       bawl                1                   
165       bayern              1                   
166       beach               2                   
167       beachgoer           1                   
168       beat                3                   
169       beaten              1                   
170       beatitud            1                   
171       beatrix             1                   
172       beauti              1                   
173       bed                 2                   
174       beer                1                   
175       begin               2                   
176       begun               2                   
177       behalf              1                   
178       behavior            1                   
179       belgium             1                   
180       believ              1                   
181       belong              1                   
182       bercow              1                   
183       betray              1                   
184       bid                 3                   
185       biennial            1                   
186       big                 2                   
187       biggest             1                   
188       bill                3                   
189       birth               1                   
190       birthday            1                   
191       bit                 1                   
192       bka                 1                   
193       black               5                   
194       blackfac            1                   
195       bless               1                   
196       bleu                1                   
197       blood               1                   
198       bloodsh             1                   
199       blow                2                   
200       blue                2                   
201       bluebottl           1                   
202       bmw                 1                   
203       boast               1                   
204       boat                2                   
205       bodi                1                   
206       book                1                   
207       boost               1                   
208       boot                1                   
209       bordeaux            1                   
210       born                2                   
211       boss                1                   
212       bottl               1                   
213       bourbon             1                   
214       box                 1                   
215       boxer               1                   
216       bray                1                   
217       brazilian           1                   
218       breach              2                   
219       breakout            1                   
220       breez               1                   
221       bremen              1                   
222       brexit              2                   
223       brigad              1                   
224       bright              2                   
225       britain             4                   
226       british             2                   
227       bro                 1                   
228       broadcast           2                   
229       broader             1                   
230       broke               4                   
231       broken              1                   
232       bronz               1                   
233       brook               1                   
234       brought             3                   
235       bryant              1                   
236       bu                  1                   
237       bubbl               1                   
238       buffalo             1                   
239       bug                 1                   
240       build               2                   
241       built               1                   
242       bulli               1                   
243       bundesliga          1                   
244       bundestag           1                   
245       burley              1                   
246       burli               1                   
247       burn                1                   
248       burst               1                   
249       busiest             1                   
250       buzz                1                   
251       cabinet             1                   
252       caf                 1                   
253       calendar            1                   
254       california          1                   
255       call                9                   
256       calm                1                   
257       camera              1                   
258       cameroon            1                   
259       camp                1                   
260       campaign            4                   
261       campo               1                   
262       canada              1                   
263       canadian            1                   
264       cancel              1                   
265       capit               3                   
266       captain             1                   
267       car                 3                   
268       card                2                   
269       cardboard           1                   
270       carducci            1                   
271       care                1                   
272       career              5                   
273       carri               3                   
274       carter              1                   
275       cartersvil          1                   
276       carv                1                   
277       cashier             1                   
278       caspar              1                   
279       castan              1                   
280       castl               1                   
281       catch               1                   
282       categori            1                   
283       cathedr             2                   
284       caught              4                   
285       caus                1                   
286       celebr              5                   
287       cem                 1                   
288       center              4                   
289       central             4                   
290       centuri             3                   
291       ceremoni            3                   
292       challeng            1                   
293       champion            4                   
294       championship        2                   
295       chanc               3                   
296       chancellor          2                   
297       chang               1                   
298       chantilli           1                   
299       charg               4                   
300       chase               1                   
301       chateau             1                   
302       check               2                   
303       checker             1                   
304       cheeki              1                   
305       chef                1                   
306       cheltenham          1                   
307       chemnitz            1                   
308       chief               2                   
309       child               1                   
310       children            1                   
311       chill               1                   
312       choke               1                   
313       christ              1                   
314       christian           1                   
315       christina           1                   
316       christma            2                   
317       christoph           1                   
318       church              1                   
319       circuit             3                   
320       circul              1                   
321       citi                6                   
322       civilian            1                   
323       claim               3                   
324       clamor              1                   
325       clara               1                   
326       class               1                   
327       clear               1                   
328       clemson             1                   
329       clinch              1                   
330       close               6                   
331       cloth               1                   
332       club                4                   
333       clue                1                   
334       cnn                 18                  
335       coach               3                   
336       coast               2                   
337       coin                1                   
338       cold                1                   
339       collect             2                   
340       colleg              2                   
341       collis              1                   
342       coloni              1                   
343       color               3                   
344       colorado            1                   
345       colt                1                   
346       combin              1                   
347       comeback            1                   
348       command             1                   
349       commemor            1                   
350       comment             3                   
351       commission          1                   
352       commit              2                   
353       committe            1                   
354       common              1                   
355       compar              1                   
356       comparison          1                   
357       compatriot          1                   
358       compet              3                   
359       competit            1                   
360       complet             4                   
361       comput              1                   
362       concern             2                   
363       concuss             1                   
364       cond                1                   
365       condemn             3                   
366       condom              1                   
367       confeder            1                   
368       confer              3                   
369       confirm             1                   
370       conflict            1                   
371       confront            3                   
372       conjur              1                   
373       connect             1                   
374       conscienc           1                   
375       consciou            1                   
376       consecut            1                   
377       consequ             2                   
378       conserv             2                   
379       constantinopl       1                   
380       constitut           1                   
381       construct           1                   
382       contamin            1                   
383       continu             7                   
384       contradict          1                   
385       contrari            1                   
386       control             3                   
387       controversi         2                   
388       cool                1                   
389       coolangatta         1                   
390       coordin             1                   
391       cope                1                   
392       copper              1                   
393       corbyn              1                   
394       corner              1                   
395       correct             1                   
396       cortina             1                   
397       cost                3                   
398       costa               1                   
399       costum              1                   
400       costumejournalist   1                   
401       coteri              1                   
402       cotswold            1                   
403       couldn              1                   
404       council             1                   
405       countri             10                  
406       countrysid          1                   
407       coupl               3                   
408       court               2                   
409       cover               2                   
410       cowardli            1                   
411       coy                 1                   
412       craftsmen           1                   
413       crash               3                   
414       creat               2                   
415       credit              1                   
416       cressida            1                   
417       crest               1                   
418       crew                1                   
419       cri                 1                   
420       crime               3                   
421       crimea              1                   
422       crimin              3                   
423       crisi               1                   
424       critic              3                   
425       croatia             1                   
426       crown               3                   
427       culprit             1                   
428       cultur              1                   
429       cup                 7                   
430       cupst               1                   
431       curi                1                   
432       current             1                   
433       cut                 1                   
434       cutout              1                   
435       cyber               1                   
436       cyberattack         1                   
437       cybercrim           1                   
438       cynic               1                   
439       da                  1                   
440       dabo                1                   
441       dakar               2                   
442       dana                1                   
443       danawhit            1                   
444       danger              1                   
445       dani                1                   
446       data                1                   
447       date                2                   
448       daughter            1                   
449       dave                1                   
450       davi                1                   
451       day                 12                  
452       de                  4                   
453       deadlin             1                   
454       deal                3                   
455       dealbrexit          1                   
456       dealbrexitha        1                   
457       deandr              1                   
458       dear                1                   
459       death               3                   
460       debat               1                   
461       debut               1                   
462       decay               1                   
463       decemb              4                   
464       decent              1                   
465       decid               2                   
466       decis               3                   
467       decker              1                   
468       decre               1                   
469       dedic               2                   
470       defeat              2                   
471       defend              5                   
472       del                 1                   
473       delay               1                   
474       delet               1                   
475       deliber             2                   
476       democraci           1                   
477       demonstr            2                   
478       deni                1                   
479       denounc             1                   
480       depart              2                   
481       departur            2                   
482       deputi              1                   
483       describ             1                   
484       deshaun             1                   
485       designonli          1                   
486       detail              1                   
487       detain              1                   
488       detent              1                   
489       deterior            1                   
490       detting             1                   
491       devast              1                   
492       di                  2                   
493       dian                1                   
494       dick                1                   
495       dictat              1                   
496       didier              1                   
497       didn                5                   
498       die                 1                   
499       diego               1                   
500       dire                1                   
501       director            2                   
502       diriyah             1                   
503       dirt                1                   
504       disappoint          2                   
505       disciplin           3                   
506       discov              3                   
507       dislik              1                   
508       dismiss             1                   
509       display             1                   
510       disput              1                   
511       disrupt             1                   
512       dissent             1                   
513       dissip              1                   
514       distinct            1                   
515       district            2                   
516       disturb             1                   
517       divid               1                   
518       divorc              1                   
519       dj                  1                   
520       document            1                   
521       doesn               2                   
522       doha                1                   
523       domin               3                   
524       don                 5                   
525       doubl               4                   
526       doubt               1                   
527       downhil             1                   
528       downhillershowev    1                   
529       dr                  1                   
530       draft               1                   
531       drag                1                   
532       drawn               1                   
533       dream               3                   
534       dress               1                   
535       drive               2                   
536       driven              1                   
537       drone               1                   
538       drop                1                   
539       drought             1                   
540       drove               1                   
541       drug                1                   
542       du                  1                   
543       dub                 1                   
544       dubai               3                   
545       dubaiboast          1                   
546       dublin              1                   
547       duc                 1                   
548       duda                1                   
549       due                 3                   
550       dumpster            1                   
551       dune                1                   
552       duo                 1                   
553       eagl                1                   
554       earli               2                   
555       earlier             1                   
556       easi                1                   
557       east                1                   
558       eastern             1                   
559       eco                 1                   
560       ecumen              1                   
561       editor              1                   
562       effect              2                   
563       egypt               2                   
564       egyptian            1                   
565       eighth              1                   
566       elect               2                   
567       eleg                1                   
568       element             1                   
569       elimin              2                   
570       elisabeth           1                   
571       elit                1                   
572       elizabeth           1                   
573       email               1                   
574       embassi             1                   
575       emblazon            1                   
576       emerg               1                   
577       emmanuel            1                   
578       emot                2                   
579       emoticon            1                   
580       empti               2                   
581       enclosur            1                   
582       end                 4                   
583       endless             1                   
584       endur               1                   
585       energ               1                   
586       energi              1                   
587       engadin             1                   
588       engag               1                   
589       england             1                   
590       englandn            1                   
591       englandth           1                   
592       english             2                   
593       enlarg              1                   
594       enrol               1                   
595       ensur               1                   
596       enter               1                   
597       entertain           1                   
598       entiti              1                   
599       enviou              1                   
600       epifaniy            1                   
601       epiphani            1                   
602       epitom              1                   
603       equin               1                   
604       era                 2                   
605       erdogan             1                   
606       eric                2                   
607       erupt               1                   
608       escal               1                   
609       escap               1                   
610       espn                2                   
611       est                 1                   
612       establish           1                   
613       estat               1                   
614       etch                1                   
615       ethnic              1                   
616       euro                1                   
617       europ               3                   
618       european            4                   
619       evacu               1                   
620       evalu               1                   
621       evan                1                   
622       eve                 1                   
623       even                2                   
624       event               4                   
625       everest             1                   
626       evid                1                   
627       exact               2                   
628       excel               1                   
629       except              1                   
630       exchequ             1                   
631       excit               1                   
632       exclus              1                   
633       execut              1                   
634       expat               1                   
635       expect              4                   
636       expens              1                   
637       experi              1                   
638       explain             2                   
639       explos              1                   
640       expos               1                   
641       extend              1                   
642       extinct             1                   
643       extrem              2                   
644       extremist           1                   
645       eye                 2                   
646       face                6                   
647       facebook            2                   
648       fact                1                   
649       fail                1                   
650       fairytal            1                   
651       faisal              1                   
652       fake                1                   
653       famili              7                   
654       famou               2                   
655       famous              1                   
656       fan                 3                   
657       fascist             1                   
658       fashion             2                   
659       fast                1                   
660       father              1                   
661       favor               1                   
662       favorit             3                   
663       fc                  1                   
664       fear                2                   
665       featur              9                   
666       featuresth          1                   
667       februari            2                   
668       feder               5                   
669       feel                1                   
670       feet                2                   
671       felip               1                   
672       fell                1                   
673       felt                1                   
674       femal               2                   
675       ferreira            1                   
676       festiv              2                   
677       fever               1                   
678       fewer               1                   
679       field               3                   
680       fietz               1                   
681       fight               1                   
682       fighter             1                   
683       figur               3                   
684       file                1                   
685       film                1                   
686       final               5                   
687       financ              1                   
688       find                1                   
689       fine                2                   
690       finish              2                   
691       fire                3                   
692       firearm             1                   
693       firstli             1                   
694       fit                 2                   
695       flag                2                   
696       flat                1                   
697       flaunt              1                   
698       flemington          1                   
699       fli                 1                   
700       flight              1                   
701       floodlight          1                   
702       floodsread          1                   
703       focu                1                   
704       follow              2                   
705       foolish             1                   
706       footag              1                   
707       footbal             2                   
708       footbridg           1                   
709       forbid              1                   
710       forc                3                   
711       forehead            1                   
712       foreign             3                   
713       forget              2                   
714       form                2                   
715       formal              2                   
716       formula             1                   
717       forward             2                   
718       fought              1                   
719       found               1                   
720       fourth              2                   
721       fractur             1                   
722       franc               3                   
723       francespectacular   1                   
724       francisca           1                   
725       franck              1                   
726       frank               1                   
727       frankel             1                   
728       frankfurt           1                   
729       freak               1                   
730       freez               1                   
731       french              4                   
732       frenchman           1                   
733       frenzi              1                   
734       frequent            1                   
735       freshman            1                   
736       friday              2                   
737       friend              3                   
738       friendli            1                   
739       fring               1                   
740       front               3                   
741       frozen              1                   
742       full                3                   
743       function            1                   
744       fund                1                   
745       funer               1                   
746       further             1                   
747       futur               1                   
748       ga                  1                   
749       gallop              1                   
750       game                5                   
751       garden              1                   
752       gash                1                   
753       gasiorowski         1                   
754       gass                1                   
755       gate                1                   
756       gather              3                   
757       gatwick             1                   
758       gauland             1                   
759       gave                1                   
760       geez                1                   
761       gen                 1                   
762       gender              1                   
763       gener               5                   
764       georg               1                   
765       georgia             1                   
766       german              3                   
767       germani             2                   
768       gershwin            1                   
769       gestur              1                   
770       giant               4                   
771       gilet               1                   
772       girardelli          1                   
773       girl                1                   
774       give                3                   
775       glamor              1                   
776       glisten             1                   
777       glitz               1                   
778       gloriou             1                   
779       goal                1                   
780       god                 3                   
781       goergl              1                   
782       gold                3                   
783       golden              1                   
784       gonna               1                   
785       goodby              1                   
786       goodwood            1                   
787       gotham              1                   
788       govern              8                   
789       grab                1                   
790       grade               1                   
791       graduat             1                   
792       grand               2                   
793       grandmoth           1                   
794       grandstand          1                   
795       grant               2                   
796       graphic             1                   
797       grass               1                   
798       great               3                   
799       greater             1                   
800       greatest            2                   
801       green               2                   
802       greensward          1                   
803       grief               1                   
804       ground              3                   
805       group               7                   
806       grow                3                   
807       gruesom             1                   
808       guess               1                   
809       guinea              1                   
810       gun                 1                   
811       guy                 3                   
812       gym                 1                   
813       hacker              1                   
814       half                1                   
815       hand                5                   
816       happen              3                   
817       happi               3                   
818       harass              1                   
819       hard                4                   
820       harder              1                   
821       hardest             1                   
822       harri               1                   
823       harshest            1                   
824       hasan               1                   
825       hat                 1                   
826       hate                1                   
827       haul                1                   
828       head                4                   
829       hear                1                   
830       heat                1                   
831       heathrow            1                   
832       heavi               2                   
833       height              1                   
834       heiko               1                   
835       held                5                   
836       hell                1                   
837       help                2                   
838       henri               1                   
839       hess                1                   
840       high                4                   
841       highest             1                   
842       highlight           1                   
843       hill                1                   
844       hint                1                   
845       hirscher            1                   
846       histor              1                   
847       histori             2                   
848       hit                 4                   
849       hitler              2                   
850       hold                3                   
851       holiday             1                   
852       holieway            1                   
853       home                4                   
854       honeymoon           1                   
855       hong                1                   
856       honor               2                   
857       hope                4                   
858       hopkin              1                   
859       hors                1                   
860       horst               1                   
861       hospic              1                   
862       hospit              4                   
863       host                4                   
864       hostil              1                   
865       hot                 1                   
866       hotel               2                   
867       hour                2                   
868       hous                1                   
869       household           1                   
870       houston             2                   
871       howl                1                   
872       humbl               1                   
873       hundr               2                   
874       hunt                1                   
875       hurl                1                   
876       hurt                1                   
877       hwa                 1                   
878       hype                1                   
879       hyster              1                   
880       ian                 1                   
881       ice                 2                   
882       ici                 1                   
883       icon                1                   
884       ident               2                   
885       identifi            2                   
886       idyl                1                   
887       ignor               1                   
888       igpn                1                   
889       ii                  1                   
890       il                  1                   
891       illustr             1                   
892       imag                1                   
893       immedi              2                   
894       immigr              2                   
895       immobil             1                   
896       import              5                   
897       impos               1                   
898       improv              1                   
899       inappropri          1                   
900       incid               4                   
901       includ              5                   
902       inconsol            1                   
903       increas             2                   
904       increasingli        1                   
905       incred              2                   
906       incumb              1                   
907       independ            1                   
908       indianapoli         1                   
909       individu            3                   
910       infin               1                   
911       influenti           1                   
912       inform              1                   
913       infring             1                   
914       ingemar             2                   
915       ingidea             1                   
916       iniesta             1                   
917       injur               1                   
918       injuri              3                   
919       insan               1                   
920       insensit            1                   
921       insid               1                   
922       insist              1                   
923       inspect             2                   
924       instagram           2                   
925       insult              1                   
926       intend              1                   
927       interior            3                   
928       intern              1                   
929       interven            2                   
930       interview           3                   
931       intimid             2                   
932       intimidatori        1                   
933       intoler             1                   
934       introduc            1                   
935       invest              1                   
936       investig            4                   
937       invit               2                   
938       involv              1                   
939       ireland             1                   
940       irelandfor          1                   
941       irish               1                   
942       islam               2                   
943       isn                 3                   
944       issu                3                   
945       itali               4                   
946       italian             1                   
947       italysimpli         1                   
948       ivori               1                   
949       jack                1                   
950       jacket              1                   
951       jaguar              1                   
952       jail                1                   
953       jambore             1                   
954       jamel               1                   
955       janiero             1                   
956       januari             7                   
957       japan               1                   
958       jaun                1                   
959       jaunesunrest        1                   
960       jazmin              1                   
961       jean                1                   
962       jedlinksi           1                   
963       jellyfish           1                   
964       jenrick             1                   
965       jeremi              1                   
966       jerom               1                   
967       jersey              1                   
968       jesu                1                   
969       jewel               1                   
970       job                 2                   
971       jockey              1                   
972       john                1                   
973       join                4                   
974       joint               1                   
975       joshua              1                   
976       jostl               1                   
977       journalist          5                   
978       joyou               1                   
979       jr                  1                   
980       juli                2                   
981       jump                2                   
982       june                3                   
983       justif              1                   
984       kaleidoscop         1                   
